date,resource_id,vm_sku,environment,application,currency,daily_cost,estimated_monthly_cost,avg_cpu,max_cpu,source_type
2025-09-26,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1663,64.99,2.023,4.396,synthetic_cost_from_public_cloud_pricing_pattern
2025-09-27,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.172,65.16,2.269,4.678,synthetic_cost_from_public_cloud_pricing_pattern
2025-09-28,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1714,65.14,2.245,4.472,synthetic_cost_from_public_cloud_pricing_pattern
2025-09-29,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1697,65.09,2.172,4.737,synthetic_cost_from_public_cloud_pricing_pattern
2025-09-30,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1727,65.18,2.301,4.775,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-01,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1675,65.02,2.075,4.216,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-02,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1664,64.99,2.027,4.171,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-03,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.161,64.83,1.794,4.572,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-04,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.3976,71.93,12.063,30.417,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-05,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.6957,80.87,28.867,33.902,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-06,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.3189,69.57,8.648,23.973,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-07,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1685,65.06,2.119,4.811,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-08,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1659,64.98,2.007,4.238,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-09,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1681,65.04,2.102,4.095,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-10,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1729,65.19,2.31,5.133,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-11,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1688,65.06,2.132,4.656,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-12,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1662,64.99,2.018,4.392,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-13,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1733,65.2,2.327,4.759,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-14,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1669,65.01,2.051,4.741,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-15,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1662,64.99,2.018,4.692,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-16,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1635,64.91,1.903,4.296,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-17,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1676,65.03,2.079,4.558,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-18,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.169,65.07,2.143,4.809,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-19,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.2713,68.14,6.582,19.328,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-20,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.6943,80.83,24.938,29.64,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-21,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.43,72.9,13.47,27.451,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-22,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1697,65.09,2.17,4.996,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-23,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1692,65.08,2.149,4.428,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-24,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1688,65.06,2.133,4.224,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-25,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1715,65.14,2.248,4.878,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-26,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1748,65.24,2.393,5.033,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-27,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1677,65.03,2.085,4.456,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-28,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1673,65.02,2.066,4.666,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-29,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1632,64.9,1.891,4.488,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-30,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1665,65.0,2.033,4.663,synthetic_cost_from_public_cloud_pricing_pattern
2025-10-31,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.169,65.07,2.142,4.382,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-01,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1697,65.09,2.17,4.494,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-02,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.168,65.04,2.099,4.249,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-03,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.17,65.1,2.183,4.589,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-04,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1718,65.15,2.261,4.667,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-05,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1719,65.16,2.269,4.953,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-06,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1714,65.14,2.247,4.267,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-07,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1702,65.1,2.191,4.208,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-08,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.176,65.28,2.446,4.833,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-09,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1683,65.05,2.112,4.555,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-10,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1712,65.14,2.236,4.985,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-11,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1715,65.14,2.249,4.978,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-12,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1704,65.11,2.204,4.73,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-13,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1672,65.01,2.06,4.133,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-14,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.169,65.07,2.14,5.017,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-15,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1665,64.99,2.031,4.679,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-16,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1676,65.03,2.081,4.799,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-17,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1695,65.09,2.164,4.588,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-18,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1721,65.16,2.275,4.7,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-19,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1691,65.07,2.145,4.556,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-20,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1658,64.98,2.004,4.189,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-21,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1691,65.07,2.145,4.799,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-22,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.5873,77.62,20.296,36.536,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-23,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.6957,80.87,28.164,35.049,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-24,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.211,66.33,3.962,12.406,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-25,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1705,65.12,2.207,4.7,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-26,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1696,65.09,2.169,4.449,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-27,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1659,64.98,2.006,4.309,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-28,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1669,65.01,2.048,4.287,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-29,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1705,65.12,2.206,5.113,synthetic_cost_from_public_cloud_pricing_pattern
2025-11-30,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1667,65.0,2.04,4.483,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-01,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1736,65.21,2.341,4.699,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-02,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1708,65.12,2.218,4.628,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-03,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1706,65.12,2.208,4.712,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-04,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.166,64.98,2.011,3.823,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-05,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1654,64.96,1.984,4.774,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-06,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1709,65.13,2.221,4.595,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-09,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.167,65.01,2.056,4.439,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-10,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1682,65.05,2.106,4.269,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-11,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1614,64.84,1.81,3.917,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-12,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1682,65.05,2.107,4.29,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-13,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1708,65.13,2.221,4.997,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-14,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1721,65.16,2.274,4.606,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-15,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1748,65.24,2.393,4.779,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-16,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1758,65.28,2.438,4.597,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-17,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1699,65.1,2.182,4.904,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-18,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1637,64.91,1.909,4.379,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-19,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1755,65.26,2.421,4.354,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-20,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1742,65.23,2.365,5.486,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-21,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1722,65.17,2.278,5.178,synthetic_cost_from_public_cloud_pricing_pattern
2025-12-22,2503-patch-UAT,Standard_D2s_v5,uat,untagged,USD,2.1749,65.25,2.395,4.877,synthetic_cost_from_public_cloud_pricing_pattern
