timestamp,resource_id,application,db_type,db_connections,db_query_latency_ms,db_reads_per_sec,db_writes_per_sec
2025-10-01 00:00:00,TestDemoVM,App4,mysql,23,27.06,399,245
2025-10-01 01:00:00,TestDemoVM,App4,mysql,23,16.98,399,196
2025-10-01 02:00:00,TestDemoVM,App4,mysql,19,22.54,424,225
2025-10-01 03:00:00,TestDemoVM,App4,mysql,21,17.07,416,233
2025-10-01 04:00:00,TestDemoVM,App4,mysql,18,26.43,387,198
2025-10-01 05:00:00,TestDemoVM,App4,mysql,18,22.23,434,195
2025-10-01 06:00:00,TestDemoVM,App4,mysql,22,27.53,463,152
2025-10-01 07:00:00,TestDemoVM,App4,mysql,18,21.94,464,161
2025-10-01 08:00:00,TestDemoVM,App4,mysql,20,20.95,365,224
2025-10-01 09:00:00,TestDemoVM,App4,mysql,23,24.2,517,216
2025-10-01 10:00:00,TestDemoVM,App4,mysql,21,24.23,372,229
2025-10-01 11:00:00,TestDemoVM,App4,mysql,21,22.61,484,168
2025-10-01 12:00:00,TestDemoVM,App4,mysql,17,24.22,372,217
2025-10-01 13:00:00,TestDemoVM,App4,mysql,22,23.28,407,252
2025-10-01 14:00:00,TestDemoVM,App4,mysql,18,19.99,404,228
2025-10-01 15:00:00,TestDemoVM,App4,mysql,20,18.91,419,171
2025-10-01 16:00:00,TestDemoVM,App4,mysql,20,22.36,295,190
2025-10-01 17:00:00,TestDemoVM,App4,mysql,17,21.82,446,193
2025-10-01 18:00:00,TestDemoVM,App4,mysql,20,20.21,435,207
2025-10-01 19:00:00,TestDemoVM,App4,mysql,19,20.66,396,227
2025-10-01 20:00:00,TestDemoVM,App4,mysql,21,20.09,466,198
2025-10-01 21:00:00,TestDemoVM,App4,mysql,19,23.05,297,228
2025-10-01 22:00:00,TestDemoVM,App4,mysql,21,23.19,384,182
2025-10-01 23:00:00,TestDemoVM,App4,mysql,22,25.66,337,239
2025-10-02 00:00:00,TestDemoVM,App4,mysql,22,23.29,396,203
2025-10-02 01:00:00,TestDemoVM,App4,mysql,18,22.36,416,163
2025-10-02 02:00:00,TestDemoVM,App4,mysql,21,23.02,432,187
2025-10-02 03:00:00,TestDemoVM,App4,mysql,21,24.18,454,229
2025-10-02 04:00:00,TestDemoVM,App4,mysql,21,20.41,385,177
2025-10-02 05:00:00,TestDemoVM,App4,mysql,21,20.02,359,213
2025-10-02 06:00:00,TestDemoVM,App4,mysql,18,20.03,333,243
2025-10-02 07:00:00,TestDemoVM,App4,mysql,22,27.42,348,207
2025-10-02 08:00:00,TestDemoVM,App4,mysql,25,22.2,480,181
2025-10-02 09:00:00,TestDemoVM,App4,mysql,20,24.53,356,157
2025-10-02 10:00:00,TestDemoVM,App4,mysql,21,24.39,430,202
2025-10-02 11:00:00,TestDemoVM,App4,mysql,20,18.42,390,217
2025-10-02 12:00:00,TestDemoVM,App4,mysql,20,22.16,332,202
2025-10-02 13:00:00,TestDemoVM,App4,mysql,17,24.39,405,220
2025-10-02 14:00:00,TestDemoVM,App4,mysql,21,21.35,441,162
2025-10-02 15:00:00,TestDemoVM,App4,mysql,21,21.28,462,169
2025-10-02 16:00:00,TestDemoVM,App4,mysql,21,19.7,390,182
2025-10-02 17:00:00,TestDemoVM,App4,mysql,23,19.09,400,189
2025-10-02 18:00:00,TestDemoVM,App4,mysql,19,27.08,375,182
2025-10-02 19:00:00,TestDemoVM,App4,mysql,17,22.77,404,179
2025-10-02 20:00:00,TestDemoVM,App4,mysql,21,24.26,417,195
2025-10-02 21:00:00,TestDemoVM,App4,mysql,21,21.65,326,201
2025-10-02 22:00:00,TestDemoVM,App4,mysql,18,20.35,386,168
2025-10-02 23:00:00,TestDemoVM,App4,mysql,18,21.95,345,204
2025-10-03 00:00:00,TestDemoVM,App4,mysql,22,25.45,464,213
2025-10-03 01:00:00,TestDemoVM,App4,mysql,20,22.74,418,187
2025-10-03 02:00:00,TestDemoVM,App4,mysql,20,23.22,390,169
2025-10-03 03:00:00,TestDemoVM,App4,mysql,21,18.66,447,203
2025-10-03 04:00:00,TestDemoVM,App4,mysql,21,20.18,443,165
2025-10-03 05:00:00,TestDemoVM,App4,mysql,21,18.21,401,186
2025-10-03 06:00:00,TestDemoVM,App4,mysql,21,23.81,448,176
2025-10-03 07:00:00,TestDemoVM,App4,mysql,17,23.49,374,211
2025-10-03 08:00:00,TestDemoVM,App4,mysql,22,19.49,443,177
2025-10-03 09:00:00,TestDemoVM,App4,mysql,18,26.19,464,221
2025-10-03 10:00:00,TestDemoVM,App4,mysql,22,24.0,350,203
2025-10-03 11:00:00,TestDemoVM,App4,mysql,16,25.45,321,214
2025-10-03 12:00:00,TestDemoVM,App4,mysql,18,24.96,313,156
2025-10-03 13:00:00,TestDemoVM,App4,mysql,17,22.32,406,203
2025-10-03 14:00:00,TestDemoVM,App4,mysql,15,22.76,444,161
2025-10-03 15:00:00,TestDemoVM,App4,mysql,17,21.57,375,154
2025-10-03 16:00:00,TestDemoVM,App4,mysql,22,24.64,417,182
2025-10-03 17:00:00,TestDemoVM,App4,mysql,17,21.46,420,233
